X1	X2
C00008	C00010
C00008	C00013
C00010	C00013
C00008	C00055
C00013	C02985
C00013	C00106
C00008	C00255
C00008	C00267
C00008	C00073
C00010	C00073
C00013	C00073
C00013	C00242
C00055	C05674
C00008	C02045
C00008	ABCA8
C00008	ACACB
C00013	ACACB
C00013	ADCY5
C00008	AK7
C00055	AK7
C00008	ATP5F1C
C00008	AURKA
C00008	AURKB
C00008	BMX
C00008	BUB1
C00008	BUB1B
C00008	CDC7
C00008	CDK1
C00008	CDK16
C00008	CHEK1
C00008	CIT
C00008	CTPS1
C00008	DCLK1
C00008	FPGT-TNNI3K
C00008	GRK3
C00008	HASPIN
C00008	MAP3K12
C00008	MASTL
C00008	MELK
C00008	NEK2
C00008	NEK5
C00008	NME1
C00008	PDK4
C00008	PKMYT1
C00008	PLK1
C00008	PLK4
C00008	RRM2
C00008	SLC17A7
C00008	SLC27A1
C00010	SLC27A1
C00013	SLC27A1
C00008	SRPK1
C00008	STK32B
C00008	TEK
C00008	TGFBR2
C00008	TK1
C00008	TK2
C00008	TTK
C00010	HSD17B10
C00008	TXN
C00073	TXN
C00010	CPT1A
C00013	NPR1
C00013	PDSS1
C00013	POLN
C00013	POLQ
C00055	FMOD
C00055	OGN
C00073	EEF1AKMT4
C00073	TRMO
